question_id,strategy,category,question,answer,golden,quality,f1,exact_match,key_fact_recall,latency_s,prompt_tokens,completion_tokens,total_tokens,cost_usd,note
q-v2-001,full_context,resolved_conflict,I'm enrolling in the HDHP as a single filer (Team Member Only). How much does GitLab contribute to my HSA each month?,,"As of April 1, 2026, GitLab contributes $125 per month to your HSA for Team Member Only (individual) coverage on the HDHP plan — raised from the previously published $100/month figure. The us-benefits-overview handbook page still shows the old $100/month number but PlanSource is already applying the new amount. You must be enrolled in the HDHP to be eligible, and HSA contributions are taxable at the state level in California, Alabama, and New Jersey.",0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,"strategy-error: Error code: 429 - {'message': 'Too many requests, please wait before trying again.'}"
q-v2-002,full_context,resolved_conflict,How many weeks of paid parental leave does GitLab offer?,"Based on the sources provided, GitLab offers **20 weeks of paid parental leave** [Parental Leave, Emergency Leave, Military Leave, Equity Vesting During Leave].  However, I should note there is a discrepancy in the sources: the main handbook document states ""16 weeks of paid Parental Leave"" [Parental Leave, Emergency Leave, Military Leave, Equity Vesting During Leave], but a more recent Slack conversation from April 16, 2026 indicates that ""effective **April 1, 2026** GitLab Paid Parental Leave ","Effective April 1, 2026, GitLab Paid Parental Leave is 20 weeks of fully paid leave (raised from the previously published 16 weeks). The parental-and-other-leave handbook page still shows 16 weeks because the MR has not yet merged. Pay remains 100% of weekly wages, leave can still be split into up to 3 segments, and it must still be used before the child's first birthday or the first anniversary of adoption. USA/Canada team members submit to Tilt 30-45 days before leave.",0.95,0.347,0.0,0.0,5.19,19944,236,20180,0.06448,"Agent correctly identifies 20 weeks as current policy effective April 1, 2026, explains the handbook discrepancy, and ci"
q-v2-003,full_context,resolved_conflict,"As a US team member using my Navan corporate card, what is the single-charge receipt threshold? Do I need to upload a receipt for a $62 client dinner?",,"The US single-charge receipt threshold was raised from $50 to $75 effective March 20, 2026. A $62 client dinner is below the new $75 threshold, so no receipt is required. The corporate-card-policy handbook page still shows $50 because the update has not yet been merged. Any charge over $75 must still be uploaded into Navan within 30 days of the transaction, and a Missing Receipt Affidavit is still required if a receipt is lost.",0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,"strategy-error: Error code: 429 - {'message': 'Too many requests, please wait before trying again.'}"
q-v2-004,full_context,resolved_conflict,I'm a Director. How often are Director+ bonuses paid out?,,"Effective Q2 2026 (April 1, 2026), Director+ bonuses are paid quarterly (4 payouts per year) instead of the previously published semi-annual cadence. The total-rewards-compensation handbook page still lists semi-annual because the MR is in flight. The target percentage of base salary is unchanged and payouts remain tied to company performance — the amount is simply split into four quarterly installments. The first quarterly payout lands mid-July after Q2 closes.",0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,"strategy-error: Error code: 429 - {'message': 'Too many requests, please wait before trying again.'}"
q-v2-005,full_context,source_only,What is the current mental health benefit vendor at GitLab and how many therapy sessions does it cover?,,"GitLab migrated from Modern Health to Spring Health on April 1, 2026. Each team member gets 12 free therapy sessions per calendar year (up from 8 with Modern Health), plus unlimited coaching, a meditation library, and dependent coverage for household members aged 13+. Sign in at gitlab.springhealth.com with your GitLab email using the activation code sent by benefits@gitlab.com. The separate EAP through New York Life (3 face-to-face sessions) is unchanged.",0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,"strategy-error: Error code: 429 - {'message': 'Too many requests, please wait before trying again.'}"
q-v2-006,full_context,source_only,"Can I expense a ChatGPT Plus subscription, and what are the rules for using AI tools with GitLab data?","Based on the sources provided, yes, you can expense a ChatGPT Plus subscription, subject to specific rules:  ## Expense Approval  **Individual AI tool subscriptions up to $50/month per team member are pre-approved** and can be expensed through Navan under the new ""AI Tools"" expense category. [slack @ 2026-04-10T09:36:00Z]  ChatGPT Plus is specifically listed as an approved vendor, so you don't need a Zip request or Security/Privacy review for this subscription. [slack @ 2026-04-10T09:36:00Z]  ##","Yes — as of April 5, 2026, individual AI tool subscriptions up to $50/month per team member are pre-approved and can be expensed through Navan under the new ""AI Tools"" category, with no Zip request or Security/Privacy review required. The pre-approved list includes ChatGPT Plus/Team, Claude Pro/Max, Gemini Advanced, GitHub Copilot, Cursor, and Perplexity Pro. Data rules: no customer data, no unreleased source code, and no personnel data in any prompt. Summaries, public docs, and your own work-in",0.95,0.513,0.0,0.0,10.773,19956,322,20278,0.06597,"Agent answer is factually accurate and comprehensive. Covers all key facts: $50/month pre-approval, Navan category, no Z"
q-v2-007,full_context,multi_source,I'm starting as a staff-augmentation contractor next week. Who handles my onboarding and where can I ask contractor-specific questions in Slack?,"Based on the sources, here's what you need to know about contractor onboarding and support:  ## Onboarding  **The People team is NOT involved in hiring, onboarding, or offboarding of temporary service providers** (including staff-augmentation contractors). [General Onboarding (New Hire Checklist)]  You should **work with the Procurement team** for your onboarding. [General Onboarding (New Hire Checklist)]  ## Slack Channel for Questions  For contractor-specific questions, join **#contractor-hub*","Contractor onboarding is handled by the Procurement team, not People Ops — the Contingent Worker Policy covers the three categories of contingent workers (Staff Augmentation, Consultancy Services, Independent Contractors). For day-to-day questions, join the dedicated #contractor-hub Slack channel (created March 28, 2026). Tag @contractor-ops during business hours (9am-6pm ET, Mon-Fri) for urgent questions; tag @procurement_team for onboarding paperwork. A pinned FAQ in the channel covers the thr",0.95,0.509,0.0,0.0,14.762,19962,281,20243,0.06524,Agent answer is accurate and comprehensive. Minor: states channel is 'staffed by Procurement + People Ops' while golden 
q-v2-008,full_context,multi_source,"I've been summoned for jury duty on a potential 4-week trial. How much paid leave do I get, and how do I log it?",,"GitLab provides up to 30 working days of paid jury-duty / legal civic obligation leave per authorized leave (raised from 25 working days effective March 25, 2026). A 4-week trial is well within the cap. Pay is 100% of weekly wages. Log it in Workday under Time-Off → Jury Duty and attach a copy of your summons. The leave is available from day one of employment and runs concurrently with other job-protected or income-replacement leave as required by law. If your service exceeds 30 working days, em",0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,"strategy-error: Error code: 429 - {'message': 'Too many requests, please wait before trying again.'}"
q-v2-009,full_context,single_source,"What's the maximum duration of short-term disability coverage at GitLab, and what percentage of my salary does it replace?",,"GitLab provides short-term disability insurance at no cost to employees. It replaces up to 66.7% of base salary for qualifying disabilities, with a maximum benefit period of 26 weeks. To apply, contact Absence Management at leaves@gitlab.com to submit a Short-Term Disability application. Within 3 business days, New York Life (NYLife) contacts you for additional information if needed, then issues a decision. Absence Management files all paperwork in Workday.",0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,"strategy-error: Error code: 429 - {'message': 'Too many requests, please wait before trying again.'}"
q-v2-010,full_context,single_source,"I was called up for a 9-month military deployment. After service ends, how long do I have to apply for reinstatement at GitLab?","Based on the Military Leave policy, for service lasting **more than 180 days**, you must apply for reinstatement within **90 days** from the end of your service [Parental Leave, Emergency Leave, Military Leave, Equity Vesting During Leave].  The policy specifies different reinstatement windows depending on service length: - **Less than 31 days:** report on next regularly scheduled work period - **31–180 days:** apply within **14 days** - **More than 180 days:** apply within **90 days**  Since yo","For military leave exceeding 180 days (9 months qualifies), you have 90 days from the end of service to apply for reinstatement at GitLab. The ""escalator principle"" applies — you return to the position you would have attained if you had not been called to serve. Unpaid military leave can extend up to 6 months, after which you are offboarded but remain eligible for reinstatement. Healthcare may be retained at your own expense for up to 2 years or end of service, whichever comes first; otherwise b",0.95,0.449,0.0,0.0,10.319,19963,217,20180,0.0642,"Agent correctly identifies 90-day reinstatement window for 9-month service, escalator principle, and provides accurate p"
