question_id,strategy,question,answer,golden_answer,quality,f1,exact_match,key_fact_recall,latency_s,prompt_tokens,completion_tokens,total_tokens,cost_usd,failure_note
q-polars-001,full_context,What's the correct way to group a DataFrame by a column and sum another column in recent Polars? I keep seeing `groupby` in old StackOverflow answers but it doesn't work.,"## Grouping and Summing in Recent Polars  You're right to be confused — `groupby` is outdated. Here's what you need to know:  ### The Correct Method: `group_by`  `groupby` was **renamed to `group_by`** (with an underscore) in Polars 0.19 and **fully removed in 0.20+**. Using the old spelling will raise an `AttributeError`. [Is groupby or group_by correct?]  ### Basic Syntax  ```python df.group_by(""user_id"").agg(pl.col(""amount"").sum()) ```  Or using the lazy API (recommended for performance):  ``","Use `group_by` (with an underscore). The method was renamed from `groupby` to `group_by` in Polars 0.19 and the old name was removed shortly after. Correct usage: `df.group_by(""user_id"").agg(pl.col(""amount"").sum())`.",1.0,0.256,0.0,0.0,8.773,15727,418,16145,0.0569,"Answer correctly identifies group_by with underscore, notes removal after 0.19, and provides exact correct syntax df.gro"
q-polars-002,full_context,I want to apply a custom Python function to every row in a Polars column. What's the current method name?,"Based on the sources, the current method name is **`map_elements()`**.  The older `apply()` method was deprecated in Polars 0.18 and fully removed in 0.20+. Here's the correct usage:  ```python pl.col(""x"").map_elements(my_fn, return_dtype=pl.Float64) ```  A few important notes:  - **Always pass `return_dtype`** — relying on type inference from the first value can cause issues [Does pl.col().apply() still work? [github @ 2026-04-05T14:20:00Z]] - **`map_elements` is slow** — it calls Python once p","Use `map_elements` for per-row Python functions, or `map_batches` when you want the whole Series passed at once. The old `apply` method was deprecated in 0.18 and removed in 0.20+. Always pass `return_dtype=...` — for example `pl.col(""x"").map_elements(my_fn, return_dtype=pl.Float64)`.",1.0,0.476,0.0,0.25,5.671,15710,285,15995,0.05425,"Agent answer covers all key facts: map_elements for per-row, map_batches for whole-Series, apply removed in 0.20+, and r"
q-polars-003,full_context,How do I compute a running total over a column in the current Polars release?,"## Computing a Running Total in Polars  Use **`cum_sum()`** on your column expression:  ```python import polars as pl  df = pl.DataFrame({""amount"": [10, 20, 30, 40, 50]})  result = df.with_columns(     pl.col(""amount"").cum_sum().alias(""running_total"") ) ```  ### Important naming note  The old `cumsum()` method was **renamed to `cum_sum()`** (with an underscore) as part of a broader snake-casing effort. Specifically:  - `cumsum` → `cum_sum` - `cumprod` → `cum_prod` - `cummax` → `cum_max` - `cummi","Use `cum_sum` (snake_cased) — for example `pl.col(""amount"").cum_sum()`. The old `cumsum` name was deprecated in 0.19.14 and removed in 1.0 as part of snake-casing the whole `cum_*` family (`cum_sum`, `cum_prod`, `cum_min`, `cum_max`, `cum_count`).",1.0,0.487,0.0,0.333,5.111,15703,251,15954,0.05352,"Answer fully matches golden answer: correct method cum_sum, mentions removal in 1.0, covers whole cum_* snake-cased fami"
q-polars-004,full_context,I'm reshaping a wide DataFrame to long format and `df.melt(...)` is throwing AttributeError on Polars 1.4. What's the right API?,"## `melt` Was Renamed to `unpivot` in Polars 1.0  You're hitting a breaking change from the 1.0 release. `melt` was renamed to `unpivot` in Polars 1.0 (July 2024), so it no longer exists in 1.4. [melt renamed? [github @ 2026-04-12T16:45:00Z]]  ### Updated Syntax  ```python # Old (broken in 1.0+) df.melt(id_vars=[""date""], value_vars=[""a"", ""b"", ""c""])  # New (correct) df.unpivot(on=[""a"", ""b"", ""c""], index=[""date""], variable_name=""variable"", value_name=""value"") ```  ### Key Parameter Renames  Note th","`melt` was renamed to `unpivot` in Polars 1.0. Use `df.unpivot(on=[""a"",""b"",""c""], index=[""date""], variable_name=""variable"", value_name=""value"")`. Note the parameter renames too: `id_vars` became `index` and `value_vars` became `on`.",1.0,0.395,0.0,0.0,4.669,15724,306,16030,0.05456,"Agent answer correctly identifies unpivot replacing melt, id_vars→index, value_vars→on, with correct example syntax matc"
q-polars-005,full_context,"I have a 120 GB NDJSON file and want to filter, group, and write out to Parquet without blowing up memory. What's the right pattern?","## Streaming a Large NDJSON File to Parquet  For a 120 GB file, the key is to **avoid `collect()` entirely** and use the sink API instead. Here's the recommended pattern:  ```python import polars as pl  (     pl.scan_ndjson(""your_file.ndjson"")     .filter(pl.col(""some_column"") > some_value)     .group_by(""group_column"")     .agg(pl.col(""amount"").sum())     .sink_parquet(""output.parquet"") ) ```  ### Why this works  1. **`scan_ndjson()`** returns a `LazyFrame` — no data is read upfront [Lazy Evalu","Use `sink_parquet` directly on the LazyFrame instead of `collect().write_parquet(...)`. Only `sink_*` APIs guarantee end-to-end chunked execution to disk; `collect(engine=""streaming"")` still materializes the final result in memory before writing. Also check `lf.show_graph(engine=""streaming"")` to ver",1.0,0.302,0.0,0.0,7.999,15723,476,16199,0.05793,"Agent answer covers all key facts: sink_parquet for streaming writes, collect() still materializes, show_graph verificat"
q-polars-006,full_context,"Does Polars have an official plugin API for writing custom expressions in Rust, or do I have to use map_elements?","Yes, Polars has an official plugin API for writing custom expressions in Rust — you don't have to rely on `map_elements`.  As of Polars 1.0, the plugin API is stable. You can write expressions in Rust (or any language that emits a cdylib exposing the Polars Arrow ABI) and register them using:  ```python polars.plugins.register_plugin_function(     plugin_path=...,     function_name=...,     args=...,     is_elementwise=... ) ```  The recommended starting point is the official template at **githu","Yes — the Polars plugin API is stable as of 1.0. Register Rust (or any cdylib) extensions via `polars.plugins.register_plugin_function(plugin_path=..., function_name=..., args=..., is_elementwise=...)`. Use the `pyo3-polars` cookiecutter template. Plugins are roughly 10-100x faster than `map_element",1.0,0.361,0.0,0.2,6.243,15712,342,16054,0.05543,"Answer covers all key facts: stable API since 1.0, register_plugin_function signature, pyo3-polars template, 10-100x spe"
q-polars-007,full_context,"What's the difference between `.over()` with `mapping_strategy=""explode""` vs the default, and when would I use each?","## `.over()` Mapping Strategies: `group_to_rows` vs `explode`  ### Default: `group_to_rows`  The default strategy keeps results **aligned with their original row positions** in the DataFrame. Each result maps back to the row it came from, preserving the original order of the DataFrame.  ```python result = athletes.select(     pl.col(""athlete"", ""rank"").sort_by(pl.col(""rank"")).over(pl.col(""country"")),     pl.col(""country""), ) ```  ### `explode` Strategy  The `explode` strategy **reorders rows so t","With the default `mapping_strategy=""group_to_rows""`, window-function results stay aligned with their original row positions. With `mapping_strategy=""explode""`, rows belonging to the same partition are grouped together and reordered; this skips position tracking and is typically faster, but reorders ",0.95,0.337,0.0,0.0,10.178,15715,451,16166,0.05742,"Covers all key facts accurately: group_to_rows default/preserves order, explode reorders/faster, mentions join strategy "
q-polars-008,full_context,"For an asof join on trades vs quotes where both are sorted by (stock, time) but not globally, does Polars require a global sort?","No, Polars does **not** require a global sort in this case.  According to the GitHub discussion on this exact scenario [join_asof on partially sorted data [github @ 2026-04-15T13:10:00Z]]:  > With `by=""stock""`, the `on` column only needs to be sorted **within each `by` group**, not globally.  So for your trades vs quotes join, you would use something like:  ```python result = df_trades.join_asof(     df_quotes,     on=""time"",     by=""stock"", ) ```  Since your data is already sorted by `(stock, t","No — when you pass `by=""stock""` to `join_asof`, the `on` column only needs to be sorted within each `by` group, not globally. Use `df_trades.join_asof(df_quotes, on=""time"", by=""stock"")`. Pass `check_sortedness=False` to skip the validation pass if your data is already sorted. Rows that exceed `toler",1.0,0.427,0.0,0.0,5.65,15717,319,16036,0.05494,"All four key facts covered: by= relaxes to within-group sort, correct join_asof syntax, check_sortedness=False, and tole"
q-polars-009,full_context,What's the best way to fill missing numeric values in between known values with interpolated estimates?,"## Filling Missing Numeric Values with Interpolation  The recommended approach is to use **`interpolate()`** directly on a numeric column expression.  ```python import polars as pl  df = pl.DataFrame({     ""col1"": [0.5, 1, 1.5, 2, 2.5],     ""col2"": [1, None, 3, None, 5], })  df.with_columns(pl.col(""col2"").interpolate()) ```  ### Key things to know:  - **Linear interpolation** is performed between neighboring non-null values [Null and Missing Data Handling] - Works on **numeric columns only** [Nu","Use `pl.col(""x"").interpolate()` — it performs linear interpolation between neighboring non-null values on numeric columns. Note that leading and trailing nulls are left as null because there is no anchor to interpolate from. This is distinct from `fill_null(strategy=""forward""|""backward"")`, which car",1.0,0.319,0.0,0.25,6.516,15704,417,16121,0.05654,"Answer covers all key facts: interpolate() usage, leading/trailing nulls stay null, numeric only, and distinction from f"
q-polars-010,full_context,"What's the difference between how Polars handles null and NaN in a floating-point column, and how do they behave in aggregations like mean?","## Null vs NaN in Polars Floating-Point Columns  Polars treats `null` and `NaN` as **distinct concepts**, even in floating-point columns.  ### What They Represent  | Aspect | `null` | `NaN` | |---|---|---| | Meaning | Missing data | Valid (but undefined) floating-point value | | Tracked via metadata bitmap | ✅ Yes | ❌ No | | Counted by `null_count()` | ✅ Yes | ❌ No | | Affected by `fill_null()` | ✅ Yes | ❌ No | | Affected by `fill_nan()` | ❌ No | ✅ Yes |  [Null and Missing Data Handling]  ---  #","Null represents missing data and is tracked via a per-column validity bitmap — it is counted by `null_count` and skipped in aggregations like `mean`/`sum`. NaN is a valid floating-point value, is NOT counted by `null_count`, and propagates through aggregations (mean of a column containing NaN is NaN",1.0,0.338,0.0,0.0,8.724,15718,481,16199,0.05798,"Agent answer covers all key facts: validity bitmap, null_count ignoring NaN, null skipped/NaN propagates in aggregations"
q-polars-001,meta_harness_optimized,What's the correct way to group a DataFrame by a column and sum another column in recent Polars? I keep seeing `groupby` in old StackOverflow answers but it doesn't work.,"## Grouping and Summing in Modern Polars  You're right to be suspicious of those old answers! The method was renamed.  ### The Correct Method: `group_by`  `groupby` (no underscore) was **renamed to `group_by` in Polars 0.19** and fully removed in 0.20+. Using the old name will raise an `AttributeError`.  ```python import polars as pl  df = pl.DataFrame({     ""user_id"": [""a"", ""b"", ""a"", ""b"", ""a""],     ""amount"":  [10, 20, 30, 40, 50], })  result = df.group_by(""user_id"").agg(pl.col(""amount"").sum()) ","Use `group_by` (with an underscore). The method was renamed from `groupby` to `group_by` in Polars 0.19 and the old name was removed shortly after. Correct usage: `df.group_by(""user_id"").agg(pl.col(""amount"").sum())`.",1.0,0.299,0.0,0.0,7.534,14926,401,15327,0.05417,"Answer correctly identifies group_by with underscore, mentions removal after 0.19, and shows correct df.group_by(col).ag"
q-polars-002,meta_harness_optimized,I want to apply a custom Python function to every row in a Polars column. What's the current method name?,"## Applying a Custom Python Function Per Row  The current method is **`map_elements()`**.  ```python pl.col(""x"").map_elements(my_fn, return_dtype=pl.Float64) ```  > **Always pass `return_dtype`** — the type inferred from the first value alone can cause subtle bugs.  The older `apply()` method was deprecated in 0.18 and **fully removed in 0.20+**, so it will raise an error on any modern version.  ### Also worth knowing  - `map_elements()` is **row-by-row Python** and therefore slow. If a vectoriz","Use `map_elements` for per-row Python functions, or `map_batches` when you want the whole Series passed at once. The old `apply` method was deprecated in 0.18 and removed in 0.20+. Always pass `return_dtype=...` — for example `pl.col(""x"").map_elements(my_fn, return_dtype=pl.Float64)`.",1.0,0.45,0.0,0.25,7.505,14909,297,15206,0.05204,"Answer covers all key facts: map_elements for per-row, map_batches for whole-Series, apply removed in 0.20+, return_dtyp"
q-polars-003,meta_harness_optimized,How do I compute a running total over a column in the current Polars release?,"## Running Total in Polars  Use **`cum_sum()`** on your column expression:  ```python import polars as pl  df = pl.DataFrame({""amount"": [10, 20, 30, 40, 50]})  result = df.with_columns(     pl.col(""amount"").cum_sum().alias(""running_total"") ) ```  ### Important: Naming Change  The old `cumsum()` method **no longer works** — it was deprecated in 0.19.14 and **removed in 1.0**. The entire cumulative family was renamed to use underscores for consistency:  | Old (removed) | New (current) | |---|---| ","Use `cum_sum` (snake_cased) — for example `pl.col(""amount"").cum_sum()`. The old `cumsum` name was deprecated in 0.19.14 and removed in 1.0 as part of snake-casing the whole `cum_*` family (`cum_sum`, `cum_prod`, `cum_min`, `cum_max`, `cum_count`).",1.0,0.412,0.0,0.0,5.634,14902,312,15214,0.05213,"Answer correctly identifies cum_sum, mentions removal in 1.0, and covers the full cum_* snake-case family."
q-polars-004,meta_harness_optimized,I'm reshaping a wide DataFrame to long format and `df.melt(...)` is throwing AttributeError on Polars 1.4. What's the right API?,"## `melt` Was Renamed to `unpivot` in Polars 1.0  You're hitting a breaking change from the 1.0 release. According to the **melt renamed? [github @ 2026-04-12]** discussion, `melt` was renamed to `unpivot` in Polars 1.0 (July 2024) to align with the pivot/unpivot convention used in SQL and Spark.  ### Updated Syntax  Note that the **parameter names also changed**:  | Old (`melt`) | New (`unpivot`) | |---|---| | `id_vars` | `index` | | `value_vars` | `on` |  ### Example  ```python # Old (broken o","`melt` was renamed to `unpivot` in Polars 1.0. Use `df.unpivot(on=[""a"",""b"",""c""], index=[""date""], variable_name=""variable"", value_name=""value"")`. Note the parameter renames too: `id_vars` became `index` and `value_vars` became `on`.",1.0,0.392,0.0,0.0,5.008,14923,304,15227,0.05209,"Agent answer correctly identifies unpivot replacing melt, id_vars→index, value_vars→on, with correct example syntax."
q-polars-005,meta_harness_optimized,"I have a 120 GB NDJSON file and want to filter, group, and write out to Parquet without blowing up memory. What's the right pattern?","## Streaming a Large NDJSON File to Parquet  For a 120 GB file, the key is to **avoid `collect()` entirely** and use the sink API instead. Here's the recommended pattern:  ```python import polars as pl  (     pl.scan_ndjson(""your_file.ndjson"")     .filter(pl.col(""some_column"") > threshold)     .group_by(""group_column"")     .agg(pl.col(""amount"").sum())     .sink_parquet(""output.parquet"") ) ```  ### Why this works  - **`scan_ndjson()`** returns a `LazyFrame` — no data is read upfront *(Lazy Evalua","Use `sink_parquet` directly on the LazyFrame instead of `collect().write_parquet(...)`. Only `sink_*` APIs guarantee end-to-end chunked execution to disk; `collect(engine=""streaming"")` still materializes the final result in memory before writing. Also check `lf.show_graph(engine=""streaming"")` to ver",1.0,0.287,0.0,0.0,7.569,14922,468,15390,0.05539,"Agent answer covers all key facts: sink_parquet for streaming writes, collect() materializes before writing, show_graph "
